cadena,entrada,tiempo,salida,salida_decimal
111111,6,0.00028840000049967784,11111111,8
1111111,7,0.0005369000009523006,1111111111111,13
11111111,8,0.0010645000002114102,111111111111111111111,21
111111111,9,0.0021104000006744172,1111111111111111111111111111111111,34
